transaction_amount,transaction_hour,account_age_days,transactions_last_1h,transactions_last_24h,failed_attempts,new_device,location_changed,international_transaction,device_change_count,avg_historical_amount,is_fraud
1723.86,7,612,4,26,5,0,0,0,3,98.57,0
1041.0,13,91,1,3,2,0,0,0,2,938.11,0
189.99,6,59,1,5,5,0,0,0,1,856.79,0
6088.97,5,56,1,6,0,0,0,0,2,603.52,0
3387.68,3,227,0,0,5,0,0,0,1,254.26,0
3592.3,0,103,1,2,2,0,0,0,0,2071.46,0
280.32,14,261,1,4,2,0,0,0,0,213.84,1
8992.91,14,177,1,4,1,0,0,0,1,280.77,0
133.92,0,86,2,12,0,0,0,0,0,247.1,0
2644.63,19,507,1,6,0,0,0,0,1,256.69,0
29309.98,2,59,0,0,5,0,0,0,1,2042.8,1
248.19,22,585,2,11,0,0,0,0,0,3438.64,0
468.98,4,300,6,35,5,0,0,0,0,801.19,0
1273.44,4,651,1,5,0,0,1,0,0,204.13,0
515.32,3,1,2,10,0,0,0,0,2,163.97,0
107.13,16,504,2,11,0,0,1,0,0,1374.87,0
1215.42,20,19,3,21,2,0,0,0,0,297.68,1
222.86,19,1094,1,7,1,0,0,0,3,118.15,0
2231.41,13,442,1,2,0,1,0,1,0,238.62,0
276.13,7,140,2,4,0,0,0,0,1,957.11,0
11213.81,1,140,2,10,0,1,0,0,0,75.08,0
338.7,7,721,2,8,0,0,0,0,0,590.93,0
676.48,0,850,2,9,0,0,0,0,2,5641.25,0
3715.53,3,810,3,14,3,0,1,0,1,860.87,1
173.07,18,603,2,14,0,1,0,0,1,814.6,0
1542.55,4,623,2,11,0,0,1,0,0,126.25,0
7790.92,4,310,2,9,1,0,0,0,0,1634.1,1
98.37,20,10,7,33,0,0,0,0,1,7747.9,0
1446.57,19,33,1,7,0,0,0,0,0,339.36,0
1619.42,23,382,3,9,1,1,0,0,0,1230.4,0
3543.02,18,187,2,4,0,0,0,0,0,1263.98,0
171.5,11,305,2,9,0,0,0,0,0,286.63,0
151.31,19,95,1,7,5,0,0,1,0,97.57,0
2399.25,0,382,0,0,0,0,0,0,0,444.31,0
1712.1,6,101,2,8,0,0,0,0,0,2962.88,0
1596.77,16,225,4,12,0,0,0,0,0,425.32,0
1843.96,1,237,0,0,0,0,0,0,0,1141.48,0
395.43,10,71,0,0,0,0,0,0,0,2125.67,0
1553.68,6,762,1,6,0,0,0,1,1,69.15,0
1702.08,16,272,1,5,0,0,0,0,1,133.09,0
375.58,2,735,0,0,0,0,0,0,0,1452.45,0
18009.63,21,111,0,0,0,0,0,1,0,88.94,0
2232.21,5,69,2,10,0,0,0,0,0,112.39,0
183.65,21,6,3,15,0,1,0,0,2,1104.96,0
2936.08,10,35,0,0,5,0,0,0,1,475.37,1
254.16,17,58,4,21,3,0,1,0,0,1421.49,0
3571.09,17,29,2,11,0,1,1,0,1,562.09,0
6234.75,21,829,2,6,0,0,0,0,1,294.13,0
320.21,9,884,1,5,1,0,1,0,0,459.13,0
4652.05,4,1011,2,4,0,0,0,0,0,1523.54,0
2036.87,22,1173,1,7,5,0,0,0,0,2099.36,0
3763.45,22,247,2,4,2,0,0,0,1,331.02,0
18867.37,20,275,1,7,0,1,1,0,1,347.19,0
758.94,23,51,1,7,0,0,0,0,0,605.72,0
354.03,21,53,1,5,0,0,1,0,0,479.72,0
288.8,14,540,0,0,0,0,0,0,1,1485.24,0
322.56,20,706,2,6,3,0,0,1,0,751.66,0
976.86,19,560,0,0,2,0,0,0,1,490.69,0
1829.37,22,656,1,3,0,0,0,0,0,2170.64,0
1660.77,3,118,0,0,3,0,0,0,0,126.92,0
3792.48,20,229,3,19,1,0,0,1,1,824.57,1
1118.23,20,224,2,8,0,0,0,0,0,1280.37,0
9704.07,0,1955,1,6,1,0,0,0,0,102.27,0
737.31,14,1087,4,21,0,0,1,0,0,406.6,0
64877.34,16,333,1,2,0,0,0,0,0,601.63,0
2803.16,18,54,0,0,0,1,0,0,0,102.02,0
303.16,13,109,2,10,0,0,1,0,0,2925.17,0
220.01,18,165,1,2,0,1,0,0,1,3417.37,0
2261.33,17,753,1,5,3,0,0,0,0,560.05,0
784.31,1,68,1,4,2,0,0,0,0,344.47,0
3200.3,5,90,0,0,0,0,0,0,0,134.91,0
2230.22,12,156,3,11,1,0,0,0,0,581.68,0
983.15,16,954,3,20,1,0,0,0,1,679.29,0
307.91,5,255,0,0,1,0,0,0,1,2474.16,0
113.04,20,379,3,20,0,0,0,0,1,3809.94,0
561.28,21,178,3,6,3,0,0,1,0,473.7,0
3962.37,4,76,0,0,3,0,0,1,1,467.81,1
1511.93,6,92,1,3,1,0,0,0,0,123.54,0
169.25,0,592,1,4,0,1,0,0,1,251.01,0
1421.93,12,817,1,7,0,0,1,0,2,583.16,0
1954.67,18,247,3,8,0,0,0,0,0,384.91,0
291.26,21,161,3,7,3,0,0,0,0,1176.59,0
1381.03,0,602,0,0,0,1,0,0,0,2324.35,0
1196.69,12,408,3,8,3,0,0,0,1,410.79,0
197.46,10,15,0,0,0,1,0,0,0,2723.16,0
1875.59,6,157,1,6,1,0,0,0,0,2606.52,0
2543.2,19,418,3,8,0,0,0,0,1,376.97,0
5566.81,2,311,3,9,0,0,0,0,1,506.63,0
5327.85,0,1394,2,11,0,0,0,0,0,585.22,0
138.86,7,733,1,4,1,0,0,0,1,2850.74,0
268.61,16,22,2,4,1,0,0,0,0,1319.53,0
2374.53,12,472,2,15,1,0,0,0,0,963.86,0
2370.08,13,149,1,5,0,0,0,0,1,4514.61,0
2374.57,4,418,2,11,0,1,0,0,0,1672.36,0
354724.69,23,350,2,14,1,0,0,0,1,6617.42,0
2582.04,21,255,5,37,0,0,1,0,0,474.73,0
6023.05,22,699,6,14,0,0,0,0,0,323.87,0
4587.1,23,450,1,2,1,0,0,0,1,176.81,0
2913.43,5,804,0,0,5,0,0,0,1,688.29,0
683.41,21,120,1,6,5,0,0,0,1,1860.38,0
3423.62,5,156,2,6,0,0,1,0,0,430.25,0
344.04,20,355,0,0,1,0,0,0,0,486.1,0
768.75,7,1239,2,11,0,0,0,0,0,1315.46,0
529.51,12,169,1,6,0,0,0,0,1,68.63,0
1239.93,17,11,1,5,3,0,0,0,1,209.34,1
35312.34,22,215,3,20,0,1,0,0,0,5692.89,0
66.63,3,286,1,3,0,0,0,0,1,134.68,0
3069.87,16,589,3,11,5,0,0,0,0,4982.11,0
97.6,4,476,2,5,5,0,0,0,0,584.73,0
540.29,2,1220,0,0,0,1,0,0,0,2043.88,0
5616.29,3,557,1,6,0,0,0,0,1,617.64,1
1207.64,22,129,0,0,5,1,0,0,0,170.05,0
217.76,4,374,0,0,1,0,0,0,0,1123.31,0
375.04,13,407,1,6,0,0,0,0,1,208.56,0
3039.34,14,2272,3,21,5,0,0,0,0,409.66,1
366.67,19,54,0,0,5,0,0,0,1,179.3,0
1517.3,16,77,3,19,0,0,1,0,0,63.95,0
1174.22,5,61,3,12,0,0,0,0,1,164.38,0
412.65,9,324,1,6,1,1,0,0,1,1464.63,0
27334.81,21,53,1,4,0,0,0,0,0,1014.59,0
2838.07,22,389,0,0,0,1,0,0,0,581.04,0
52.58,15,594,1,7,0,0,1,0,0,493.11,0
1450.53,16,206,1,2,2,0,0,0,0,1710.12,0
406.39,13,300,2,14,0,0,0,0,0,1977.73,0
3938.87,19,890,0,0,1,0,0,0,0,241.66,0
334.03,11,307,1,5,1,0,0,0,1,1230.5,0
923.25,8,85,0,0,0,0,0,0,0,7585.66,0
2339.01,14,153,1,5,5,0,0,0,0,363.3,0
4018.37,11,275,4,27,5,0,0,0,0,3910.33,0
181.19,13,61,4,12,5,0,0,0,0,903.54,0
663.98,21,346,3,19,0,0,0,0,0,4766.68,0
537.85,17,2624,1,4,0,0,0,0,2,2823.73,0
411.58,19,385,1,7,0,0,0,0,1,2021.06,0
15493.59,5,170,3,15,0,0,0,0,0,664.05,0
2013.18,3,147,1,2,0,0,0,0,0,835.02,0
165.45,22,979,1,7,5,0,0,1,0,385.83,0
4345.05,11,748,2,15,0,0,0,1,0,180.41,0
26455.9,12,233,1,3,5,0,0,0,1,80.48,0
5160.03,18,159,0,0,1,0,1,0,1,2050.45,0
112.27,21,452,2,9,0,1,0,0,0,313.44,0
530.41,12,137,4,29,0,0,1,0,0,1117.4,0
7334.66,11,46,2,8,0,0,0,1,0,574.15,0
379.36,19,135,0,0,0,0,0,0,0,1133.99,0
2133.95,2,207,0,0,2,0,1,0,2,885.53,0
3505.02,2,107,1,7,5,0,0,0,1,172.13,0
273.04,13,89,1,2,1,0,0,1,0,144.25,0
1002.96,17,2,0,0,1,0,0,0,1,115.87,0
10.0,18,363,2,13,3,0,0,0,1,872.76,0
235.9,9,347,0,0,2,0,0,0,0,5310.35,0
750.81,16,76,0,0,0,0,0,0,0,296.13,0
168.73,14,1049,2,11,0,0,0,0,1,2546.9,0
12690.6,18,192,1,6,2,0,0,0,1,129.18,0
128.35,8,9,1,7,0,1,0,1,1,129.97,0
566.76,3,90,2,9,0,0,0,0,0,377.84,0
1334.23,14,429,1,6,2,0,0,0,1,528.13,0
9527.24,18,82,1,6,2,0,0,0,0,2014.77,0
127.26,15,20,0,0,1,0,0,0,1,584.8,0
6277.62,7,350,3,12,3,0,0,0,0,221.04,0
1113.6,16,266,2,14,0,0,0,1,0,528.25,0
251.57,20,522,0,0,5,0,0,0,1,1923.49,0
2193.28,0,540,2,7,0,0,0,0,1,300.97,0
1478.21,6,1174,1,7,5,0,0,0,0,763.44,0
445.71,20,21,2,7,0,0,0,0,1,374.5,0
1217.68,17,14,2,14,0,0,0,0,1,502.74,0
615.25,11,1590,1,4,0,0,0,0,0,1058.07,0
1300.2,15,377,4,21,3,0,0,0,2,427.0,0
2960.74,0,458,0,0,1,0,1,0,0,81.07,0
11837.47,14,37,3,9,1,0,0,0,1,481.79,1
171.28,6,26,3,18,1,0,0,1,0,360.71,0
26891.08,16,63,3,23,0,0,0,0,0,593.74,0
58.67,2,203,4,29,0,0,0,0,1,681.03,0
873.34,10,42,3,23,0,0,0,0,1,5551.9,0
2650.43,5,215,0,0,0,0,0,0,0,533.7,0
1671.52,5,300,1,2,0,0,1,0,0,1368.8,0
430.93,14,0,3,15,0,0,0,0,0,449.33,0
802.57,6,44,2,11,3,0,0,0,1,1042.81,0
523.48,10,171,1,2,0,0,0,0,0,521.6,0
453.03,16,20,0,0,0,0,0,0,0,404.51,0
3922.18,22,52,0,0,3,0,0,0,0,1238.68,1
1873.42,17,96,4,18,5,0,0,0,0,925.89,0
387.86,21,204,0,0,0,0,0,1,0,2901.44,0
4227.64,23,457,1,3,5,1,0,0,0,452.48,0
1738.8,20,51,2,15,0,0,1,0,0,459.54,0
3711.88,18,488,0,0,0,0,0,0,1,317.72,0
2819.86,7,704,3,18,0,0,0,0,1,534.65,0
316.24,23,384,1,7,0,0,0,0,0,884.47,0
473.3,19,16,1,3,1,0,0,0,0,750.96,0
3364.18,7,212,1,7,5,0,0,0,1,1851.51,0
2739.57,20,393,0,0,0,0,0,0,1,524.19,0
1062.78,10,1401,1,7,0,1,1,0,0,209.51,0
1307.66,20,1106,0,0,3,0,0,1,1,302.17,0
7453.93,2,183,2,12,1,0,0,0,1,221.38,0
451.53,22,349,0,0,3,0,1,0,2,355.7,0
2491.51,13,808,5,20,0,1,0,0,3,1433.74,0
809.74,8,649,3,11,0,0,0,0,0,228.7,0
791.14,0,238,2,12,0,0,0,0,4,483.42,0
5699.68,0,110,3,13,5,0,0,0,1,1769.66,0
3782.44,11,53,0,0,1,0,0,0,0,212.09,0
3715.48,10,244,4,13,2,0,0,0,1,903.82,0
7771.5,20,468,0,0,1,0,0,0,1,492.99,0
1131.73,0,1277,0,0,3,1,0,0,0,801.78,0
3050.1,19,722,0,0,0,0,0,0,0,483.95,0
688.56,11,83,2,5,0,0,1,0,0,192.44,0
1783.35,16,464,2,7,1,0,0,1,0,105.93,0
902.15,14,124,1,4,5,0,0,0,1,623.51,0
1268.38,1,419,3,14,1,1,0,0,3,546.47,0
2677.76,17,400,1,6,1,0,0,0,0,536.57,0
321.39,15,116,1,4,0,0,0,0,0,1189.76,0
25300.54,3,97,0,0,0,0,0,0,0,944.73,0
242.49,7,40,4,28,2,0,0,0,0,175.03,0
177.46,1,18,6,27,5,0,0,0,0,2560.78,0
6230.22,13,713,5,18,0,0,0,0,0,606.61,0
3595.7,14,18,0,0,0,0,0,0,0,119.83,0
2796.66,8,33,0,0,3,0,0,1,1,637.17,0
2814.44,1,99,0,0,5,0,0,0,1,97.46,1
1076.67,16,797,2,8,5,0,1,0,2,493.28,0
285.46,9,147,2,6,0,0,1,1,1,9052.67,0
1228.69,8,77,1,6,3,0,0,0,0,3247.39,0
397.13,1,458,3,7,5,0,0,0,0,590.46,0
4734.73,23,140,0,0,5,1,0,1,0,5386.32,0
879.55,18,148,1,6,0,0,0,0,0,1328.66,0
317.91,16,490,1,5,1,0,0,0,0,1016.28,0
677.17,10,105,3,19,0,0,0,0,0,947.97,0
2037.33,16,828,0,0,0,1,0,0,0,5783.97,0
470.79,9,300,2,6,0,0,0,0,0,2540.96,0
319.47,17,281,7,34,0,0,0,0,0,495.38,0
1580.55,22,112,1,6,5,0,0,1,0,4735.96,0
1583.59,5,657,1,3,1,0,0,0,1,733.99,0
512.65,15,310,1,7,0,1,0,0,1,1652.21,0
541.01,17,61,1,3,3,0,0,0,1,2744.3,0
1553.2,19,84,0,0,0,0,0,0,0,204.0,0
124.94,17,230,6,40,0,0,0,0,2,509.08,0
132.79,0,552,2,15,0,1,0,0,0,4007.16,0
373.28,2,1022,0,0,5,0,0,0,0,243.86,0
796.18,14,397,1,2,0,0,0,0,1,1479.55,0
1748.23,19,257,1,3,2,0,0,0,1,1674.89,0
10026.98,9,105,2,11,3,0,0,0,0,171.54,0
3969.87,20,407,1,5,0,0,0,0,0,61.66,0
862.72,4,1471,2,11,2,0,0,0,1,468.58,0
1065.79,14,236,0,0,1,0,1,0,0,1199.6,0
243.77,22,64,1,2,3,1,0,1,1,179.4,0
1066.6,13,39,1,3,5,1,0,0,0,692.4,0
711.24,14,114,2,12,0,0,0,0,0,2878.72,0
1779.48,9,307,1,5,0,0,0,1,1,1774.16,0
317.08,23,1070,2,11,1,0,0,0,1,7893.43,0
2389.93,8,129,0,0,0,0,0,0,0,218.12,0
10928.27,11,133,0,0,0,0,0,0,0,4104.25,0
931.56,6,239,1,7,1,0,0,0,0,273.81,0
2003.33,4,915,0,0,1,1,0,0,0,82.07,0
3087.81,23,198,3,19,3,0,0,0,0,937.99,0
600.74,9,92,2,11,5,1,0,0,0,466.37,1
1534.77,7,65,4,27,3,0,0,0,0,1401.31,0
1117.54,21,222,2,15,1,0,0,0,0,1602.39,0
1269.67,19,588,2,11,0,0,1,0,0,780.6,0
343.95,15,125,0,0,0,0,0,0,1,585.65,0
1137.7,11,262,2,13,0,0,1,0,0,733.35,0
2314.61,8,337,1,5,3,1,0,0,1,2831.03,0
9669.34,9,218,2,15,0,0,0,0,0,926.38,0
4623.5,15,77,1,3,0,0,0,0,0,666.69,0
27716.24,9,929,1,7,3,0,0,1,0,245.05,0
346.88,8,304,1,5,1,0,0,0,0,731.17,0
4058.14,2,476,2,15,0,0,0,0,0,703.77,0
1443.77,18,368,0,0,0,0,1,0,0,259.35,0
29281.3,10,2277,1,7,1,0,0,1,0,213.35,0
326.21,5,222,2,7,3,0,0,0,0,877.31,0
311.19,5,201,3,9,1,0,0,0,0,798.54,0
446.26,14,162,0,0,0,0,0,0,0,3514.85,0
45.34,14,163,1,4,0,0,0,0,2,465.06,0
498.38,12,117,0,0,3,0,0,0,0,744.64,0
351.18,21,1439,1,4,3,0,1,0,1,219.32,0
1374.15,4,746,2,5,0,0,0,0,1,49.51,0
1831.03,13,138,2,9,0,0,0,0,1,159.39,0
18292.68,20,132,4,20,0,0,0,0,1,2563.28,0
4562.54,1,39,2,4,5,0,0,0,0,4755.31,1
461.57,22,764,1,3,0,0,0,0,1,1127.76,0
284.97,11,169,3,6,1,0,0,0,0,865.61,0
2293.6,19,310,1,5,2,0,1,0,1,2828.84,0
151.36,13,841,2,7,0,0,0,0,0,289.21,0
17106.06,18,191,1,3,0,0,0,0,2,221.73,0
6432.77,23,600,3,21,5,0,0,0,1,1095.43,1
542.53,19,205,2,4,0,0,0,0,1,1173.39,0
83.96,14,440,1,6,1,0,0,0,0,692.91,0
8356.61,19,205,0,0,0,0,0,0,2,516.94,1
923.52,23,182,1,6,1,0,0,0,0,446.43,0
7021.45,16,1707,2,5,5,0,0,0,0,856.58,0
100.32,13,345,2,14,1,0,0,0,0,335.1,0
446.28,22,167,1,3,1,0,0,0,0,6638.83,0
1105.29,17,108,0,0,1,0,0,0,0,1209.44,0
1176.7,21,14,1,5,0,1,0,0,0,195.15,0
558.3,23,447,0,0,0,0,0,0,2,257.16,0
2791.33,4,169,1,4,0,0,0,0,1,352.61,0
221.09,21,628,2,10,5,0,0,1,2,5875.5,0
885.75,11,165,3,13,0,0,0,0,1,223.91,0
1313.49,9,170,1,2,5,0,0,0,0,1550.66,0
2372.4,7,551,2,13,0,0,0,0,1,578.61,0
3188.87,5,245,0,0,0,1,0,1,0,513.97,0
202.97,14,789,2,9,0,0,0,0,0,1464.0,0
109.82,11,325,0,0,3,0,0,0,1,801.54,0
7454.07,5,100,2,10,1,1,0,0,1,581.42,0
1805.28,11,306,2,14,5,1,0,0,1,119.19,1
356.83,14,1,0,0,2,0,0,0,0,311.97,1
11234.31,11,136,2,6,0,0,0,0,0,658.98,0
1304.42,8,85,1,5,1,0,0,0,0,1199.91,0
6431.39,18,387,2,7,0,0,0,0,3,644.12,0
1213.52,20,53,3,6,1,0,0,0,1,337.94,0
24127.85,1,125,3,22,3,0,0,0,1,494.85,1
15260.32,12,146,3,20,3,0,0,1,1,5727.66,0
754.88,12,1,1,7,1,0,0,0,0,86.16,0
4709.59,7,17,2,12,0,1,0,0,0,485.71,0
2887.26,12,136,2,9,0,0,0,0,2,2318.02,0
8543.68,3,91,0,0,5,0,0,0,0,564.78,0
257.91,5,45,2,6,3,0,0,0,0,308.89,0
3068.91,5,61,2,8,3,0,1,0,0,1395.84,0
5364.92,20,658,2,5,0,1,0,0,0,1741.68,0
78.41,11,419,2,9,0,0,0,0,0,2087.56,0
185.88,11,241,2,11,0,0,0,0,0,1144.75,0
51.48,16,874,1,3,1,0,0,0,2,2039.11,0
732.08,6,10,0,0,0,0,0,1,0,1219.6,0
3217.35,14,154,0,0,5,0,0,0,0,287.82,0
10441.42,23,632,0,0,5,0,0,0,0,620.47,0
1225.55,16,361,1,3,1,0,0,0,0,721.62,0
12618.55,9,1460,4,12,5,1,0,1,0,1832.01,0
138.36,22,1055,2,15,1,1,0,0,1,395.47,0
85.19,19,67,2,6,1,1,0,0,1,1172.46,0
1008.96,5,1304,1,3,0,0,0,0,0,2694.45,0
1951.0,8,1062,1,2,2,1,0,0,0,168.03,0
1044.15,14,170,2,8,0,0,1,0,0,110.3,1
49.35,15,1484,0,0,5,0,0,0,0,1434.52,0
959.41,20,13,1,2,0,1,1,0,0,588.5,0
154.98,7,394,9,26,3,0,0,0,0,3010.02,0
2994.43,15,112,0,0,3,0,1,0,0,15136.45,0
1900.55,4,50,2,11,0,0,0,0,0,2718.45,0
267.78,17,314,3,8,0,0,0,0,0,171.76,0
507.35,19,133,1,5,0,0,0,0,0,4901.58,0
223.9,13,401,1,3,5,0,0,0,1,1332.24,0
998.23,1,283,0,0,2,1,0,0,1,1358.84,0
4594.95,22,181,0,0,0,0,0,0,0,185.91,0
249.99,22,73,2,5,0,1,0,0,1,414.03,0
2335.71,2,335,2,11,0,0,0,0,0,754.24,0
495.03,13,645,3,8,0,1,0,0,0,641.05,0
333.85,6,334,2,10,0,0,0,1,0,861.68,0
933.98,14,344,4,28,2,0,0,0,0,424.43,0
232.09,16,261,1,4,5,0,0,0,0,2204.24,0
477.96,0,179,5,24,0,1,0,0,0,2945.82,0
181.85,8,223,2,5,0,0,0,0,2,213.63,0
20891.29,21,1664,3,17,1,0,0,0,1,290.67,0
1156.2,13,505,1,2,0,0,0,1,0,101.16,0
383.91,15,205,3,11,1,0,0,0,1,48.99,0
1511.67,20,223,3,21,3,1,0,0,0,257.83,1
926.59,12,252,0,0,0,0,0,0,0,1807.65,0
787.25,5,393,0,0,0,0,0,0,0,347.23,0
2755.21,21,228,2,11,0,0,0,0,1,1214.44,0
3416.12,0,423,3,8,0,0,0,0,0,1281.8,0
494.85,20,145,0,0,3,0,1,0,0,675.16,0
462.33,3,192,3,17,0,0,0,0,0,444.09,0
725.91,2,728,0,0,0,0,0,0,1,792.69,0
34.71,16,145,2,11,0,0,0,0,0,135.48,0
112.98,1,1217,2,12,5,0,0,0,0,2357.48,0
8521.19,18,69,2,8,1,0,1,0,1,390.33,0
12931.89,19,100,1,2,0,0,0,0,1,4094.2,0
754.79,22,227,3,15,0,1,0,0,0,1096.98,0
2604.08,21,582,2,11,0,0,1,0,0,2482.9,0
